Field,ID,Type (Type),default,fr-fr,en-us
TrailerThumbnail3,1042,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail4,1043,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail5,1044,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail6,1045,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail7,1046,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail8,1047,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail9,1048,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail10,1049,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail11,1050,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail12,1051,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail13,1052,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail14,1053,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail15,1054,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption1,1055,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption2,1056,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption3,1057,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption4,1058,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption5,1059,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption6,1060,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption7,1061,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption8,1062,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption9,1063,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption10,1064,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption11,1065,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption12,1066,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption13,1067,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption14,1068,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerClosedCaption15,1069,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription1,1070,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription2,1071,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription3,1072,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription4,1073,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription5,1074,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription6,1075,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription7,1076,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription8,1077,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription9,1078,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription10,1079,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription11,1080,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription12,1081,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription13,1082,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription14,1083,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerAudioDescription15,1084,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
